,Years,CHC_base_runs,STL_base_runs,PIT_base_runs,CIN_base_runs,MIL_base_runs
0,2019,256.9988975725023,210.99884387475274,163.99881215267783,227.99880135600458,250.99891853347586
1,2018,167.9988822466885,205.99883484759584,157.9987755138603,172.99885265964946,218.99886396784578
2,2017,223.99891863405975,196.99888739708422,151.99877244436018,219.99887776958735,224.99885568420183
3,2016,199.99892732602834,225.99886887438518,153.99885008369253,164.99877860581478,194.99883999884287
4,2015,171.99882513922228,137.99878183878383,140.99879776433528,167.99879836143327,145.99872059594617
5,2014,157.99871362253464,105.99871601215126,156.9988333450916,131.99864678288583,150.99872543201673
6,2013,172.99871803486758,125.99881336133856,161.9987551748163,155.99883812807244,157.9987288061782
7,2012,137.9986877606942,159.99888673978586,170.99872408512985,172.99878933220864,202.99883325445555
8,2011,148.9987592686852,162.9988877742145,107.99870237473733,183.99886254968956,185.9988224245572
9,2010,149.99879060294532,150.998850851818,126.99869209237904,188.99889476420066,182.99888404872587
10,2009,161.99886077521722,160.99884122232024,125.99875299850635,158.99879618778942,182.9989084927342
11,2008,184.99896698758172,174.9989455720063,153.99881229519346,187.99883707917343,198.99886118319253
12,2007,151.9988645098176,141.99885159376788,148.99880625324064,204.9989028743249,231.9988758146702
13,2006,166.99879449602912,184.9988829126003,141.99879737936112,217.99891866520673,180.99882101792153
14,2005,194.99883259747637,170.9988801383454,139.9987938845862,222.9989343260077,175.9988423958325
15,2004,235.99889591092685,214.99893589996844,142.998750323108,194.99887938661223,135.99878618538645
16,2003,172.99882549911692,196.9989580612829,163.99887144735754,182.9988095595587,196.99887039159015
17,2002,200.99886073854228,175.99887907811572,142.99875872879798,169.99885586285345,139.99877035750717
18,2001,194.99888018094316,199.99888354514863,161.99874610285883,176.9988304528808,209.99881735671806
19,2000,183.99891176090614,235.99898498941164,168.99890068885173,200.99893491718836,177.99887372165674
20,1999,189.99887453995885,194.9989237532184,171.99886644445849,209.99894103031085,165.99895373861287
21,1998,212.99894150832276,223.99896527776025,107.99867925712535,138.998870656187,152.9988388014967
22,1997,127.99876960119387,144.998823335866,129.99878819658608,142.99879406929074,135.99878829969964
23,1996,175.99882465744284,142.9988233484827,138.99884934001437,191.99888878869842,178.99896787370787
24,1995,158.99871291507392,107.99856250196689,125.99867151371112,161.99877804710692,128.99873770494528
25,1994,109.99834380892304,108.99843211274232,80.99825592079257,124.99850858732992,99.99841635416007
26,1993,161.9988362223476,118.99887255963222,110.99882365664071,137.99880721242496,125.99882129648717
27,1992,104.99870852905553,94.99877222185667,106.99880004294951,99.99879302026896,82.99877377012807
28,1991,159.99876343778197,68.99870071940194,126.99886200526464,164.99881090044136,116.99886097561095
29,1990,136.99876590423187,73.99871882196476,138.99883380820037,125.99878933081831,128.9987933192922
30,1989,124.9987766132026,73.99872472689252,95.99874105306276,128.99875099356913,126.99875460403464
31,1988,113.99874609017941,71.99867894426067,110.99874990705347,122.99871848535061,113.99872683518805
32,1987,209.99887708721235,94.998846991063,131.9988348466645,192.9988751061819,163.99893472215857
33,1986,155.99881119874783,58.99864402691812,111.99878282595466,144.9988460477151,127.99879098722634
34,1985,150.99883376215251,87.9988057666528,80.99869158588645,114.99880060940187,101.99876218546585
35,1984,136.9988332738721,75.99870342949946,98.99871055006204,106.99876174070761,96.99872497358179
36,1983,140.99878921293598,83.99880337960668,121.99880095745372,107.9987382052483,132.99884788998656
37,1982,102.99874416691488,67.99876454172927,134.99882292690333,82.99868744554702,216.99892672489176
38,1981,57.99796899494866,50.99813536605674,55.997983350177535,64.99821619012596,96.99817534126515
39,1980,107.99874235483017,101.99879667754415,116.998773398636,113.99880826940277,203.99888384596883
40,1979,135.99882070332123,100.99882855037661,148.99885803346538,132.9988702307057,185.99892415783543
41,1978,72.99878020793967,79.99863202129747,115.9987448950338,136.9988543262368,173.99889121179098
